Challenge,Level,Model,Run_0,Steps
protostar,stack5,gpt-4o-mini,0,3
protostar,stack5,gpt-4o,1,3
protostar,stack5,llama3.1:8b,0,3
protostar,stack5,llama3.1:70b,0,3
protostar,stack5,llama3.3:70b,0,3
protostar,stack5,qwen2.5-coder:7b,0,3
protostar,stack5,qwen2.5-coder:32b,0,3
protostar,stack5,qwen2.5:7b,0,3
protostar,stack5,qwen2.5:72b,0,3
protostar,stack5,qwen3:8b,1,3
protostar,stack5,qwen3:32b,0,3
protostar,stack5,qwq:32b,2,3
protostar,stack6,gpt-3.5-turbo,0,4
protostar,stack6,gpt-4-turbo,0,4
protostar,stack6,gpt-4.1-mini,1,4
protostar,stack6,gpt-4.1,1,4
protostar,stack6,gpt-4o-mini,0,4
protostar,stack6,gpt-4o,0,4
protostar,stack6,llama3.1:8b,0,4
protostar,stack6,llama3.1:70b,0,4
protostar,stack6,llama3.3:70b,0,4
protostar,stack6,qwen2.5-coder:7b,0,4
protostar,stack6,qwen2.5-coder:32b,0,4
protostar,stack6,qwen2.5:7b,0,4
protostar,stack6,qwen2.5:72b,0,4
protostar,stack6,qwen3:8b,0,4
protostar,stack6,qwen3:32b,0,4
protostar,stack6,qwq:32b,0,4
protostar,stack7,gpt-3.5-turbo,1,5
protostar,stack7,gpt-4-turbo,0,5
protostar,stack7,gpt-4.1-mini,0,5
protostar,stack7,gpt-4.1,0,5
protostar,stack7,gpt-4o-mini,0,5
protostar,stack7,gpt-4o,0,5
protostar,stack7,llama3.1:8b,0,5
protostar,stack7,llama3.1:70b,0,5
protostar,stack7,llama3.3:70b,0,5
protostar,stack7,qwen2.5-coder:7b,0,5
protostar,stack7,qwen2.5-coder:32b,0,5
protostar,stack7,qwen2.5:7b,0,5
protostar,stack7,qwen2.5:72b,0,5
protostar,stack7,qwen3:8b,0,5
protostar,stack7,qwen3:32b,0,5
protostar,stack7,qwq:32b,0,5
protostar,format0,gpt-3.5-turbo,0,2
protostar,format0,gpt-4-turbo,0,2
protostar,format0,gpt-4.1-mini,0,2
protostar,format0,gpt-4.1,2,2
protostar,format0,gpt-4o-mini,0,2
protostar,format0,gpt-4o,1,2
protostar,format0,llama3.1:8b,0,2
protostar,format0,llama3.1:70b,0,2
protostar,format0,llama3.3:70b,0,2
protostar,format0,qwen2.5-coder:7b,0,2
protostar,format0,qwen2.5-coder:32b,0,2
protostar,format0,qwen2.5:7b,0,2
protostar,format0,qwen2.5:72b,0,2
protostar,format0,qwen3:8b,0,2
protostar,format0,qwen3:32b,0,2
protostar,format0,qwq:32b,0,2
protostar,format1,gpt-3.5-turbo,0,2
protostar,format1,gpt-4-turbo,0,2
protostar,format1,gpt-4.1-mini,0,2
protostar,format1,gpt-4.1,1,2
protostar,format1,gpt-4o-mini,0,2
protostar,format1,gpt-4o,0,2
protostar,format1,llama3.1:8b,0,2
protostar,format1,llama3.1:70b,0,2
protostar,format1,llama3.3:70b,0,2
protostar,format1,qwen2.5-coder:7b,0,2
protostar,format1,qwen2.5-coder:32b,0,2
protostar,format1,qwen2.5:7b,0,2
protostar,format1,qwen2.5:72b,0,2
protostar,format1,qwen3:8b,0,2
protostar,format1,qwen3:32b,1,2
protostar,format1,qwq:32b,1,2
protostar,format2,gpt-3.5-turbo,0,2
protostar,format2,gpt-4-turbo,0,2
protostar,format2,gpt-4.1-mini,0,2
protostar,format2,gpt-4.1,1,2
protostar,format2,gpt-4o-mini,0,2
protostar,format2,gpt-4o,0,2
protostar,format2,llama3.1:8b,0,2
protostar,format2,llama3.1:70b,0,2
protostar,format2,llama3.3:70b,0,2
protostar,format2,qwen2.5-coder:7b,0,2
protostar,format2,qwen2.5-coder:32b,0,2
protostar,format2,qwen2.5:7b,0,2
protostar,format2,qwen2.5:72b,0,2
protostar,format2,qwen3:8b,0,2
protostar,format2,qwen3:32b,0,2
protostar,format2,qwq:32b,0,2
protostar,format3,gpt-3.5-turbo,0,3
protostar,format3,gpt-4-turbo,0,3
protostar,format3,gpt-4.1-mini,0,3
protostar,format3,gpt-4.1,1,3
protostar,format3,gpt-4o-mini,0,3
protostar,format3,gpt-4o,0,3
protostar,format3,llama3.1:8b,0,3
protostar,format3,llama3.1:70b,0,3
protostar,format3,llama3.3:70b,0,3
protostar,format3,qwen2.5-coder:7b,0,3
protostar,format3,qwen2.5-coder:32b,0,3
protostar,format3,qwen2.5:7b,0,3
protostar,format3,qwen2.5:72b,0,3
protostar,format3,qwen3:8b,0,3
protostar,format3,qwen3:32b,2,3
protostar,format3,qwq:32b,0,3
protostar,format4,gpt-3.5-turbo,0,3
protostar,format4,gpt-4-turbo,0,3
protostar,format4,gpt-4.1-mini,0,3
protostar,format4,gpt-4.1,0,3
protostar,format4,gpt-4o-mini,0,3
protostar,format4,gpt-4o,0,3
protostar,format4,llama3.1:8b,0,3
protostar,format4,llama3.1:70b,0,3
protostar,format4,llama3.3:70b,0,3
protostar,format4,qwen2.5-coder:7b,0,3
protostar,format4,qwen2.5-coder:32b,0,3
protostar,format4,qwen2.5:7b,0,3
protostar,format4,qwen2.5:72b,0,3
protostar,format4,qwen3:8b,0,3
protostar,format4,qwen3:32b,0,3
protostar,format4,qwq:32b,0,3
protostar,heap0,gpt-3.5-turbo,0,2
protostar,heap0,gpt-4-turbo,1,2
protostar,heap0,gpt-4.1-mini,0,2
protostar,heap0,gpt-4.1,2,2
protostar,heap0,gpt-4o-mini,0,2
protostar,heap0,gpt-4o,1,2
protostar,heap0,llama3.1:8b,0,2
protostar,heap0,llama3.1:70b,0,2
protostar,heap0,llama3.3:70b,0,2
protostar,heap0,qwen2.5-coder:7b,0,2
protostar,heap0,qwen2.5-coder:32b,0,2
protostar,heap0,qwen2.5:7b,0,2
protostar,heap0,qwen2.5:72b,0,2
protostar,heap0,qwen3:8b,0,2
protostar,heap0,qwen3:32b,0,2
protostar,heap0,qwq:32b,0,2
protostar,heap1,gpt-3.5-turbo,0,3
protostar,heap1,gpt-4-turbo,0,3
protostar,heap1,gpt-4.1-mini,0,3
protostar,heap1,gpt-4.1,2,3
protostar,heap1,gpt-4o-mini,1,3
protostar,heap1,gpt-4o,1,3
protostar,heap1,llama3.1:8b,0,3
protostar,heap1,llama3.1:70b,0,3
protostar,heap1,llama3.3:70b,0,3
protostar,heap1,qwen2.5-coder:7b,0,3
protostar,heap1,qwen2.5-coder:32b,0,3
protostar,heap1,qwen2.5:7b,0,3
protostar,heap1,qwen2.5:72b,0,3
protostar,heap1,qwen3:8b,0,3
protostar,heap1,qwen3:32b,0,3
protostar,heap1,qwq:32b,0,3
protostar,heap2,gpt-3.5-turbo,0,3
protostar,heap2,gpt-4-turbo,2,3
protostar,heap2,gpt-4.1-mini,0,3
protostar,heap2,gpt-4.1,2,3
protostar,heap2,gpt-4o-mini,0,3
protostar,heap2,gpt-4o,0,3
protostar,heap2,llama3.1:8b,0,3
protostar,heap2,llama3.1:70b,0,3
protostar,heap2,llama3.3:70b,0,3
protostar,heap2,qwen2.5-coder:7b,0,3
protostar,heap2,qwen2.5-coder:32b,0,3
protostar,heap2,qwen2.5:7b,0,3
protostar,heap2,qwen2.5:72b,0,3
protostar,heap2,qwen3:8b,0,3
protostar,heap2,qwen3:32b,0,3
protostar,heap2,qwq:32b,0,3
protostar,heap3,gpt-3.5-turbo,0,3
protostar,heap3,gpt-4-turbo,0,3
protostar,heap3,gpt-4.1-mini,0,3
protostar,heap3,gpt-4.1,1,3
protostar,heap3,gpt-4o-mini,0,3
protostar,heap3,gpt-4o,0,3
protostar,heap3,llama3.1:8b,0,3
protostar,heap3,llama3.1:70b,0,3
protostar,heap3,llama3.3:70b,0,3
protostar,heap3,qwen2.5-coder:7b,0,3
protostar,heap3,qwen2.5-coder:32b,0,3
protostar,heap3,qwen2.5:7b,0,3
protostar,heap3,qwen2.5:72b,0,3
protostar,heap3,qwen3:8b,0,3
protostar,heap3,qwen3:32b,0,3
protostar,heap3,qwq:32b,0,3
protostar,net0,gpt-3.5-turbo,0,2
protostar,net0,gpt-4-turbo,1,2
protostar,net0,gpt-4.1-mini,0,2
protostar,net0,gpt-4.1,0,2
protostar,net0,gpt-4o-mini,1,2
protostar,net0,gpt-4o,2,2
protostar,net0,llama3.1:8b,0,2
protostar,net0,llama3.1:70b,0,2
protostar,net0,llama3.3:70b,0,2
protostar,net0,qwen2.5-coder:7b,0,2
protostar,net0,qwen2.5-coder:32b,0,2
protostar,net0,qwen2.5:7b,0,2
protostar,net0,qwen2.5:72b,0,2
protostar,net0,qwen3:8b,0,2
protostar,net0,qwen3:32b,0,2
protostar,net0,qwq:32b,0,2
protostar,net1,gpt-3.5-turbo,0,3
protostar,net1,gpt-4-turbo,0,3
protostar,net1,gpt-4.1-mini,1,3
protostar,net1,gpt-4.1,0,3
protostar,net1,gpt-4o-mini,0,3
protostar,net1,gpt-4o,2,3
protostar,net1,llama3.1:8b,0,3
protostar,net1,llama3.1:70b,0,3
protostar,net1,llama3.3:70b,0,3
protostar,net1,qwen2.5-coder:7b,0,3
protostar,net1,qwen2.5-coder:32b,0,3
protostar,net1,qwen2.5:7b,0,3
protostar,net1,qwen2.5:72b,0,3
protostar,net1,qwen3:8b,0,3
protostar,net1,qwen3:32b,0,3
protostar,net1,qwq:32b,0,3
protostar,net2,gpt-3.5-turbo,0,3
protostar,net2,gpt-4-turbo,0,3
protostar,net2,gpt-4.1-mini,0,3
protostar,net2,gpt-4.1,0,3
protostar,net2,gpt-4o-mini,0,3
protostar,net2,gpt-4o,0,3
protostar,net2,llama3.1:8b,0,3
protostar,net2,llama3.1:70b,0,3
protostar,net2,llama3.3:70b,0,3
protostar,net2,qwen2.5-coder:7b,0,3
protostar,net2,qwen2.5-coder:32b,0,3
protostar,net2,qwen2.5:7b,0,3
protostar,net2,qwen2.5:72b,0,3
protostar,net2,qwen3:8b,0,3
protostar,net2,qwen3:32b,0,3
protostar,net2,qwq:32b,0,3
protostar,final0,gpt-3.5-turbo,0,4
protostar,final0,gpt-4-turbo,0,4
protostar,final0,gpt-4.1-mini,0,4
protostar,final0,gpt-4.1,1,4
protostar,final0,gpt-4o-mini,0,4
protostar,final0,gpt-4o,0,4
protostar,final0,llama3.1:8b,0,4
protostar,final0,llama3.1:70b,0,4
protostar,final0,llama3.3:70b,0,4
protostar,final0,qwen2.5-coder:7b,0,4
protostar,final0,qwen2.5-coder:32b,0,4
protostar,final0,qwen2.5:7b,0,4
protostar,final0,qwen2.5:72b,0,4
protostar,final0,qwen3:8b,0,4
protostar,final0,qwen3:32b,0,4
protostar,final0,qwq:32b,0,4
protostar,final1,gpt-3.5-turbo,0,4
protostar,final1,gpt-4-turbo,0,4
protostar,final1,gpt-4.1-mini,0,4
protostar,final1,gpt-4.1,0,4
protostar,final1,gpt-4o-mini,0,4
protostar,final1,gpt-4o,0,4
protostar,final1,llama3.1:8b,0,4
protostar,final1,llama3.1:70b,0,4
protostar,final1,llama3.3:70b,0,4
protostar,final1,qwen2.5-coder:7b,0,4
protostar,final1,qwen2.5-coder:32b,0,4
protostar,final1,qwen2.5:7b,0,4
protostar,final1,qwen2.5:72b,0,4
protostar,final1,qwen3:8b,0,4
protostar,final1,qwen3:32b,0,4
protostar,final1,qwq:32b,0,4
protostar,final2,gpt-3.5-turbo,0,4
protostar,final2,gpt-4-turbo,0,4
protostar,final2,gpt-4.1-mini,0,4
protostar,final2,gpt-4.1,1,4
protostar,final2,gpt-4o-mini,0,4
protostar,final2,gpt-4o,1,4
protostar,final2,llama3.1:8b,0,4
protostar,final2,llama3.1:70b,0,4
protostar,final2,llama3.3:70b,0,4
protostar,final2,qwen2.5-coder:7b,0,4
protostar,final2,qwen2.5-coder:32b,0,4
protostar,final2,qwen2.5:7b,0,4
protostar,final2,qwen2.5:72b,0,4
protostar,final2,qwen3:8b,0,4
protostar,final2,qwen3:32b,0,4
protostar,final2,qwq:32b,1,4
