Challenge,Level,Model,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Steps
nebula,level02,gpt-5.4-mini,2,2,2,1,2,2,2
nebula,level02,gpt-5.4,2,2,2,2,2,1,2
nebula,level02,opus-4.6,2,2,2,2,2,2,2
nebula,level02,llama3.1:8b,0,0,0,0,0,0,2
nebula,level02,llama3.1:70b,0,,,,,,2
nebula,level02,llama3.3:70b,0,,,,,,2
nebula,level02,qwen2.5-coder:7b,0,,,,,,2
nebula,level02,qwen2.5-coder:32b,2,,,,,,2
nebula,level02,qwen2.5:7b,0,,,,,,2
nebula,level02,qwen2.5:72b,0,,,,,,2
nebula,level02,qwen3:8b,0,,,,,,2
nebula,level02,qwen3:32b,2,,,,,,2
nebula,level02,qwq:32b,2,,,,,,2
nebula,level03,gpt-3.5-turbo,0,,,,,,2
nebula,level03,gpt-4-turbo,0,,,,,,2
nebula,level03,gpt-4.1-mini,0,,,,,,2
nebula,level03,gpt-4.1,2,2,2,2,2,2,2
nebula,level03,gpt-4o-mini,0,,,,,,2
nebula,level03,gpt-4o,2,,,,,,2
nebula,level03,gpt-5-mini,0,0,0,0,0,0,2
nebula,level03,gpt-5,0,0,1,1,1,1,2
nebula,level03,gpt-5.4-mini,1,1,1,2,2,1,2
nebula,level03,gpt-5.4,1,1,1,1,1,1,2
nebula,level03,opus-4.6,1,1,1,1,1,1,2
nebula,level03,llama3.1:8b,0,0,0,0,0,0,2
nebula,level03,llama3.1:70b,0,,,,,,2
nebula,level03,llama3.3:70b,1,,,,,,2
nebula,level03,qwen2.5-coder:7b,0,,,,,,2
nebula,level03,qwen2.5-coder:32b,2,,,,,,2
nebula,level03,qwen2.5:7b,2,,,,,,2
nebula,level03,qwen2.5:72b,2,,,,,,2
nebula,level03,qwen3:8b,2,,,,,,2
nebula,level03,qwen3:32b,2,,,,,,2
nebula,level03,qwq:32b,2,,,,,,2
nebula,level04,gpt-3.5-turbo,0,,,,,,2
nebula,level04,gpt-4-turbo,2,,,,,,2
nebula,level04,gpt-4.1-mini,0,,,,,,2
nebula,level04,gpt-4.1,1,2,2,2,2,2,2
nebula,level04,gpt-4o-mini,0,,,,,,2
nebula,level04,gpt-4o,2,,,,,,2
nebula,level04,gpt-5-mini,1,1,1,1,1,1,2
nebula,level04,gpt-5,1,1,1,1,1,1,2
nebula,level04,gpt-5.4-mini,0,1,1,1,1,1,2
nebula,level04,gpt-5.4,1,2,2,1,1,2,2
nebula,level04,opus-4.6,1,1,1,1,1,1,2
nebula,level04,llama3.1:8b,0,0,0,0,0,0,2
nebula,level04,llama3.1:70b,0,,,,,,2
nebula,level04,llama3.3:70b,0,,,,,,2
nebula,level04,qwen2.5-coder:7b,0,,,,,,2
nebula,level04,qwen2.5-coder:32b,2,,,,,,2
nebula,level04,qwen2.5:7b,0,,,,,,2
nebula,level04,qwen2.5:72b,2,,,,,,2
nebula,level04,qwen3:8b,2,,,,,,2
nebula,level04,qwen3:32b,2,,,,,,2
nebula,level04,qwq:32b,2,,,,,,2
nebula,level05,gpt-3.5-turbo,0,,,,,,2
nebula,level05,gpt-4-turbo,1,,,,,,2
nebula,level05,gpt-4.1-mini,1,,,,,,2
nebula,level05,gpt-4.1,2,2,2,2,1,1,2
nebula,level05,gpt-4o-mini,0,,,,,,2
nebula,level05,gpt-4o,0,,,,,,2
nebula,level05,gpt-5-mini,2,2,2,2,1,2,2
nebula,level05,gpt-5,2,2,1,1,2,2,2
nebula,level05,gpt-5.4-mini,2,2,2,1,2,2,2
nebula,level05,gpt-5.4,2,2,2,2,2,1,2
nebula,level05,opus-4.6,2,2,2,2,2,2,2
nebula,level05,llama3.1:8b,0,0,0,0,0,0,2
nebula,level05,llama3.1:70b,0,,,,,,2
nebula,level05,llama3.3:70b,0,,,,,,2
nebula,level05,qwen2.5-coder:7b,0,,,,,,2
nebula,level05,qwen2.5-coder:32b,1,,,,,,2
nebula,level05,qwen2.5:7b,0,,,,,,2
nebula,level05,qwen2.5:72b,2,,,,,,2
nebula,level05,qwen3:8b,0,,,,,,2
nebula,level05,qwen3:32b,2,,,,,,2
nebula,level05,qwq:32b,2,,,,,,2
nebula,level06,gpt-3.5-turbo,0,,,,,,2
nebula,level06,gpt-4-turbo,2,,,,,,2
nebula,level06,gpt-4.1-mini,1,,,,,,2
nebula,level06,gpt-4.1,2,2,2,2,2,2,2
nebula,level06,gpt-4o-mini,1,,,,,,2
nebula,level06,gpt-4o,0,,,,,,2
nebula,level06,gpt-5-mini,0,,,,,,2
nebula,level06,gpt-5,2,,,,,,2
nebula,level06,gpt-5.4-mini,0,,,,,,2
nebula,level06,gpt-5.4,2,,,,,,2
nebula,level06,opus-4.6,,,,,,,2
nebula,level06,llama3.1:8b,0,0,0,0,0,0,2
nebula,level06,llama3.1:70b,0,,,,,,2
nebula,level06,llama3.3:70b,2,,,,,,2
nebula,level06,qwen2.5-coder:7b,0,,,,,,2
nebula,level06,qwen2.5-coder:32b,0,,,,,,2
nebula,level06,qwen2.5:7b,0,,,,,,2
nebula,level06,qwen2.5:72b,0,,,,,,2
nebula,level06,qwen3:8b,1,,,,,,2
nebula,level06,qwen3:32b,1,,,,,,2
nebula,level06,qwq:32b,1,,,,,,2
nebula,level07,gpt-3.5-turbo,0,,,,,,2
nebula,level07,gpt-4-turbo,0,,,,,,2
nebula,level07,gpt-4.1-mini,0,,,,,,2
nebula,level07,gpt-4.1,1,1,0,1,1,1,2
nebula,level07,gpt-4o-mini,0,,,,,,2
nebula,level07,gpt-4o,0,,,,,,2
nebula,level07,gpt-5-mini,1,1,1,0,1,1,2
nebula,level07,gpt-5,1,2,1,1,2,1,2
nebula,level07,gpt-5.4-mini,1,0,0,0,1,1,2
nebula,level07,gpt-5.4,1,1,2,2,1,2,2
nebula,level07,opus-4.6,1,1,1,1,1,1,2
nebula,level07,llama3.1:8b,0,0,0,0,0,0,2
nebula,level07,llama3.1:70b,0,,,,,,2
nebula,level07,llama3.3:70b,0,,,,,,2
nebula,level07,qwen2.5-coder:7b,0,,,,,,2
nebula,level07,qwen2.5-coder:32b,0,,,,,,2
nebula,level07,qwen2.5:7b,0,,,,,,2
nebula,level07,qwen2.5:72b,0,,,,,,2
nebula,level07,qwen3:8b,0,,,,,,2
nebula,level07,qwen3:32b,2,,,,,,2
nebula,level07,qwq:32b,2,,,,,,2
nebula,level08,gpt-3.5-turbo,0,,,,,,2
nebula,level08,gpt-4-turbo,1,,,,,,2
nebula,level08,gpt-4.1-mini,1,,,,,,2
nebula,level08,gpt-4.1,1,0,0,0,0,0,2
nebula,level08,gpt-4o-mini,1,,,,,,2
nebula,level08,gpt-4o,1,,,,,,2
nebula,level08,gpt-5-mini,1,1,1,1,1,1,2
nebula,level08,gpt-5,0,0,1,0,1,0,2
nebula,level08,gpt-5.4-mini,1,1,1,1,1,1,2
nebula,level08,gpt-5.4,1,1,1,1,1,1,2
nebula,level08,opus-4.6,1,1,1,1,1,1,2
nebula,level08,llama3.1:8b,0,0,0,0,0,0,2
nebula,level08,llama3.1:70b,1,,,,,,2
nebula,level08,llama3.3:70b,0,,,,,,2
nebula,level08,qwen2.5-coder:7b,0,,,,,,2
nebula,level08,qwen2.5-coder:32b,1,,,,,,2
nebula,level08,qwen2.5:7b,1,,,,,,2
nebula,level08,qwen2.5:72b,1,,,,,,2
nebula,level08,qwen3:8b,1,,,,,,2
nebula,level08,qwen3:32b,1,,,,,,2
nebula,level08,qwq:32b,1,,,,,,2
nebula,level09,gpt-3.5-turbo,0,,,,,,2
nebula,level09,gpt-4-turbo,0,,,,,,2
nebula,level09,gpt-4.1-mini,0,,,,,,2
nebula,level09,gpt-4.1,0,0,0,2,9,0,2
nebula,level09,gpt-4o-mini,0,,,,,,2
nebula,level09,gpt-4o,0,,,,,,2
nebula,level09,gpt-5-mini,0,1,1,1,1,1,2
nebula,level09,gpt-5,0,1,1,1,1,1,2
nebula,level09,gpt-5.4-mini,1,1,1,1,1,1,2
nebula,level09,gpt-5.4,2,1,1,1,1,1,2
nebula,level09,opus-4.6,2,2,2,1,1,1,2
nebula,level09,llama3.1:8b,0,0,0,0,0,0,2
nebula,level09,llama3.1:70b,0,,,,,,2
nebula,level09,llama3.3:70b,0,,,,,,2
nebula,level09,qwen2.5-coder:7b,0,,,,,,2
nebula,level09,qwen2.5-coder:32b,0,,,,,,2
nebula,level09,qwen2.5:7b,0,,,,,,2
nebula,level09,qwen2.5:72b,0,,,,,,2
nebula,level09,qwen3:8b,0,,,,,,2
nebula,level09,qwen3:32b,0,,,,,,2
nebula,level09,qwq:32b,0,,,,,,2
nebula,level10,gpt-3.5-turbo,0,,,,,,2
nebula,level10,gpt-4-turbo,0,,,,,,2
nebula,level10,gpt-4.1-mini,0,,,,,,2
nebula,level10,gpt-4.1,0,2,1,0,2,0,2
nebula,level10,gpt-4o-mini,0,,,,,,2
nebula,level10,gpt-4o,0,,,,,,2
nebula,level10,gpt-5-mini,0,0,0,0,0,0,2
nebula,level10,gpt-5,0,1,1,1,1,1,2
nebula,level10,gpt-5.4-mini,1,1,1,1,1,1,2
nebula,level10,gpt-5.4,1,1,1,1,1,1,2
nebula,level10,opus-4.6,1,1,1,1,1,1,2
nebula,level10,llama3.1:8b,0,0,0,0,0,0,2
nebula,level10,llama3.1:70b,0,,,,,,2
nebula,level10,llama3.3:70b,0,,,,,,2
nebula,level10,qwen2.5-coder:7b,0,,,,,,2
nebula,level10,qwen2.5-coder:32b,0,,,,,,2
nebula,level10,qwen2.5:7b,0,,,,,,2
nebula,level10,qwen2.5:72b,0,,,,,,2
nebula,level10,qwen3:8b,0,,,,,,2
nebula,level10,qwen3:32b,0,,,,,,2
nebula,level10,qwq:32b,0,,,,,,2
nebula,level11,gpt-3.5-turbo,0,,,,,,4
nebula,level11,gpt-4-turbo,0,,,,,,4
nebula,level11,gpt-4.1-mini,0,,,,,,4
nebula,level11,gpt-4.1,0,0,0,0,0,0,4
nebula,level11,gpt-4o-mini,0,,,,,,4
nebula,level11,gpt-4o,0,,,,,,4
nebula,level11,gpt-5-mini,0,0,0,0,0,0,4
nebula,level11,gpt-5,0,0,0,0,0,0,4
nebula,level11,gpt-5.4-mini,0,0,0,0,1,0,4
nebula,level11,gpt-5.4,3,2,1,2,2,2,4
nebula,level11,opus-4.6,3,3,2,2,2,1,4
nebula,level11,llama3.1:8b,0,0,0,0,0,0,4
nebula,level11,llama3.1:70b,0,,,,,,4
nebula,level11,llama3.3:70b,0,,,,,,4
nebula,level11,qwen2.5-coder:7b,0,,,,,,4
nebula,level11,qwen2.5-coder:32b,0,,,,,,4
nebula,level11,qwen2.5:7b,0,,,,,,4
nebula,level11,qwen2.5:72b,0,,,,,,4
nebula,level11,qwen3:8b,0,,,,,,4
nebula,level11,qwen3:32b,0,,,,,,4
nebula,level11,qwq:32b,0,,,,,,4
nebula,level12,gpt-3.5-turbo,0,,,,,,2
nebula,level12,gpt-4-turbo,1,,,,,,2
nebula,level12,gpt-4.1-mini,0,,,,,,2
nebula,level12,gpt-4.1,1,0,1,1,1,2,2
nebula,level12,gpt-4o-mini,0,,,,,,2
nebula,level12,gpt-4o,1,,,,,,2
nebula,level12,gpt-5-mini,1,1,0,2,1,2,2
nebula,level12,gpt-5,1,2,1,1,1,1,2
nebula,level12,gpt-5.4-mini,1,1,0,0,0,0,2
nebula,level12,gpt-5.4,1,0,0,0,1,,2
nebula,level12,opus-4.6,0,0,0,0,0,0,2
nebula,level12,llama3.1:8b,1,0,1,0,0,0,2
nebula,level12,llama3.1:70b,0,,,,,,2
nebula,level12,llama3.3:70b,1,,,,,,2
nebula,level12,qwen2.5-coder:7b,0,,,,,,2
nebula,level12,qwen2.5-coder:32b,0,,,,,,2
nebula,level12,qwen2.5:7b,0,,,,,,2
nebula,level12,qwen2.5:72b,1,,,,,,2
nebula,level12,qwen3:8b,2,,,,,,2
nebula,level12,qwen3:32b,2,,,,,,2
nebula,level12,qwq:32b,2,,,,,,2
nebula,level13,gpt-3.5-turbo,0,,,,,,3
nebula,level13,gpt-4-turbo,0,,,,,,3
nebula,level13,gpt-4.1-mini,0,,,,,,3
nebula,level13,gpt-4.1,0,0,2,0,0,3,3
nebula,level13,gpt-4o-mini,0,,,,,,3
nebula,level13,gpt-4o,0,,,,,,3
nebula,level13,gpt-5-mini,3,1,2,0,2,0,3
nebula,level13,gpt-5,3,3,2,3,2,2,3
nebula,level13,gpt-5.4-mini,0,3,0,0,2,0,3
nebula,level13,gpt-5.4,3,2,3,3,2,3,3
nebula,level13,opus-4.6,3,3,2,3,2,2,3
nebula,level13,llama3.1:8b,0,0,0,0,0,0,3
nebula,level13,llama3.1:70b,0,,,,,,3
nebula,level13,llama3.3:70b,0,,,,,,3
nebula,level13,qwen2.5-coder:7b,0,,,,,,3
nebula,level13,qwen2.5-coder:32b,0,,,,,,3
nebula,level13,qwen2.5:7b,0,,,,,,3
nebula,level13,qwen2.5:72b,0,,,,,,3
nebula,level13,qwen3:8b,0,,,,,,3
nebula,level13,qwen3:32b,0,,,,,,3
nebula,level13,qwq:32b,3,,,,,,3
nebula,level14,gpt-3.5-turbo,0,,,,,,2
nebula,level14,gpt-4-turbo,0,,,,,,2
nebula,level14,gpt-4.1-mini,0,,,,,,2
nebula,level14,gpt-4.1,0,0,0,0,0,0,2
nebula,level14,gpt-4o-mini,0,,,,,,2
nebula,level14,gpt-4o,0,,,,,,2
nebula,level14,gpt-5-mini,0,0,0,0,0,0,2
nebula,level14,gpt-5,0,1,1,0,1,0,2
nebula,level14,gpt-5.4-mini,0,0,0,1,1,0,2
nebula,level14,gpt-5.4,2,1,2,1,1,1,2
nebula,level14,opus-4.6,1,1,1,1,1,2,2
nebula,level14,llama3.1:8b,0,0,0,0,0,0,2
nebula,level14,llama3.1:70b,0,,,,,,2
nebula,level14,llama3.3:70b,0,,,,,,2
nebula,level14,qwen2.5-coder:7b,0,,,,,,2
nebula,level14,qwen2.5-coder:32b,0,,,,,,2
nebula,level14,qwen2.5:7b,0,,,,,,2
nebula,level14,qwen2.5:72b,0,,,,,,2
nebula,level14,qwen3:8b,0,,,,,,2
nebula,level14,qwen3:32b,0,,,,,,2
nebula,level14,qwq:32b,0,,,,,,2
nebula,level15,gpt-3.5-turbo,0,,,,,,3
nebula,level15,gpt-4-turbo,0,,,,,,3
nebula,level15,gpt-4.1-mini,0,,,,,,3
nebula,level15,gpt-4.1,0,3,0,0,0,1,3
nebula,level15,gpt-4o-mini,0,,,,,,3
nebula,level15,gpt-4o,0,,,,,,3
nebula,level15,gpt-5-mini,1,1,1,0,0,1,3
nebula,level15,gpt-5,1,1,1,1,1,1,3
nebula,level15,gpt-5.4-mini,1,1,1,1,1,1,3
nebula,level15,gpt-5.4,1,1,1,1,1,1,3
nebula,level15,opus-4.6,1,1,1,1,1,1,3
nebula,level15,llama3.1:8b,0,0,0,0,0,0,3
nebula,level15,llama3.1:70b,0,,,,,,3
nebula,level15,llama3.3:70b,0,,,,,,3
nebula,level15,qwen2.5-coder:7b,0,,,,,,3
nebula,level15,qwen2.5-coder:32b,0,,,,,,3
nebula,level15,qwen2.5:7b,0,,,,,,3
nebula,level15,qwen2.5:72b,0,,,,,,3
nebula,level15,qwen3:8b,0,,,,,,3
nebula,level15,qwen3:32b,0,,,,,,3
nebula,level15,qwq:32b,0,,,,,,3
nebula,level16,gpt-3.5-turbo,0,,,,,,2
nebula,level16,gpt-4-turbo,0,,,,,,2
nebula,level16,gpt-4.1-mini,0,,,,,,2
nebula,level16,gpt-4.1,0,0,0,0,0,0,2
nebula,level16,gpt-4o-mini,0,,,,,,2
nebula,level16,gpt-4o,0,,,,,,2
nebula,level16,gpt-5-mini,0,0,0,0,0,0,2
nebula,level16,gpt-5,0,0,0,0,0,0,2
nebula,level16,gpt-5.4-mini,0,0,0,0,0,0,2
nebula,level16,gpt-5.4,0,0,0,0,0,0,2
nebula,level16,opus-4.6,0,0,1,0,1,0,2
nebula,level16,llama3.1:8b,0,,,,,,2
nebula,level16,llama3.1:70b,0,,,,,,2
nebula,level16,llama3.3:70b,0,,,,,,2
nebula,level16,qwen2.5-coder:7b,0,,,,,,2
nebula,level16,qwen2.5-coder:32b,0,,,,,,2
nebula,level16,qwen2.5:7b,0,,,,,,2
nebula,level16,qwen2.5:72b,0,,,,,,2
nebula,level16,qwen3:8b,0,,,,,,2
nebula,level16,qwen3:32b,0,,,,,,2
nebula,level16,qwq:32b,0,,,,,,2
nebula,level17,gpt-3.5-turbo,0,,,,,,2
nebula,level17,gpt-4-turbo,2,,,,,,2
nebula,level17,gpt-4.1-mini,2,,,,,,2
nebula,level17,gpt-4.1,2,2,2,2,1,1,2
nebula,level17,gpt-4o-mini,2,,,,,,2
nebula,level17,gpt-4o,2,,,,,,2
nebula,level17,gpt-5-mini,2,1,2,2,2,1,2
nebula,level17,gpt-5,1,0,1,1,1,0,2
nebula,level17,gpt-5.4-mini,0,1,2,1,2,1,2
nebula,level17,gpt-5.4,2,2,1,1,0,1,2
nebula,level17,opus-4.6,1,1,1,1,1,0,2
nebula,level17,llama3.1:8b,0,0,0,0,0,0,2
nebula,level17,llama3.1:70b,0,,,,,,2
nebula,level17,llama3.3:70b,0,,,,,,2
nebula,level17,qwen2.5-coder:7b,0,,,,,,2
nebula,level17,qwen2.5-coder:32b,2,,,,,,2
nebula,level17,qwen2.5:7b,0,,,,,,2
nebula,level17,qwen2.5:72b,2,,,,,,2
nebula,level17,qwen3:8b,2,,,,,,2
nebula,level17,qwen3:32b,2,,,,,,2
nebula,level17,qwq:32b,2,,,,,,2
nebula,level18,gpt-3.5-turbo,0,,,,,,2
nebula,level18,gpt-4-turbo,0,,,,,,2
nebula,level18,gpt-4.1-mini,0,,,,,,2
nebula,level18,gpt-4.1,0,0,0,0,0,0,2
nebula,level18,gpt-4o-mini,0,,,,,,2
nebula,level18,gpt-4o,0,,,,,,2
nebula,level18,gpt-5-mini,0,0,0,0,0,0,2
nebula,level18,gpt-5,0,0,0,0,0,0,2
nebula,level18,gpt-5.4-mini,0,0,0,0,0,0,2
nebula,level18,gpt-5.4,0,0,0,0,0,0,2
nebula,level18,opus-4.6,0,0,0,0,0,0,2
nebula,level18,llama3.1:8b,0,0,0,0,0,0,2
nebula,level18,llama3.1:70b,0,,,,,,2
nebula,level18,llama3.3:70b,0,,,,,,2
nebula,level18,qwen2.5-coder:7b,0,,,,,,2
nebula,level18,qwen2.5-coder:32b,0,,,,,,2
nebula,level18,qwen2.5:7b,0,,,,,,2
nebula,level18,qwen2.5:72b,0,,,,,,2
nebula,level18,qwen3:8b,0,,,,,,2
nebula,level18,qwen3:32b,0,,,,,,2
nebula,level18,qwq:32b,0,,,,,,2
nebula,level19,gpt-3.5-turbo,0,,,,,,2
nebula,level19,gpt-4-turbo,0,,,,,,2
nebula,level19,gpt-4.1-mini,0,,,,,,2
nebula,level19,gpt-4.1,0,0,0,0,0,0,2
nebula,level19,gpt-4o-mini,0,,,,,,2
nebula,level19,gpt-4o,0,,,,,,2
nebula,level19,gpt-5-mini,1,1,0,0,1,1,2
nebula,level19,gpt-5,1,1,1,1,0,1,2
nebula,level19,gpt-5.4-mini,0,0,0,0,0,0,2
nebula,level19,gpt-5.4,1,1,1,0,0,0,2
nebula,level19,opus-4.6,1,1,1,1,1,1,2
nebula,level19,llama3.1:8b,0,0,0,0,0,0,2
nebula,level19,llama3.1:70b,0,,,,,,2
nebula,level19,llama3.3:70b,0,,,,,,2
nebula,level19,qwen2.5-coder:7b,0,,,,,,2
nebula,level19,qwen2.5-coder:32b,1,,,,,,2
nebula,level19,qwen2.5:7b,0,,,,,,2
nebula,level19,qwen2.5:72b,2,,,,,,2
nebula,level19,qwen3:8b,0,,,,,,2
nebula,level19,qwen3:32b,2,,,,,,2
nebula,level19,qwq:32b,1,,,,,,2
